#{"t_start": 1776233236.5888731, "env_id": "None"}
r,l,t
5.584007,12,61.085259
5.124989,12,61.134951
5.216672,12,61.187417
5.312391,12,61.247437
6.217616,12,61.300438
5.808078,12,61.347058
5.514204,12,61.403056
5.023926,12,61.453449
5.525735,12,61.501447
5.637006,12,61.547982
3.973909,12,61.600834
5.735924,12,61.650555
5.241231,12,61.70087
6.030718,12,61.761161
5.036467,12,61.815165
6.280893,12,61.86377
5.918601,12,61.911776
5.121373,12,61.964781
5.292482,12,62.014724
5.551601,12,62.07079
5.802214,12,62.128484
4.654177,12,62.18304
5.162601,12,62.235669
5.239413,12,62.290678
5.31495,12,62.342494
5.686442,12,62.39441
4.871278,12,62.4508
4.331477,12,62.499995
6.796689,12,62.549204
5.746824,12,62.601234
5.399395,12,62.649904
6.168902,12,62.698025
5.780262,12,62.767644
6.264788,12,62.894167
4.825562,12,62.950661
5.910824,12,63.009232
6.18942,12,63.916232
5.364368,12,63.985176
5.987664,12,64.061126
6.532423,12,64.131315
6.150377,12,64.208446
5.501603,12,64.266491
5.163678,12,64.338018
5.040539,12,64.411424
5.351911,12,64.495659
6.311289,12,64.589084
3.587533,12,64.674671
4.700152,12,64.753572
4.592193,12,64.839947
5.16465,12,64.91837
5.579352,12,65.00283
4.810714,12,65.090515
5.994842,12,65.172363
6.182243,12,65.256365
4.74208,12,65.311702
6.652799,12,65.37046
6.389535,12,65.416827
5.632657,12,65.478672
5.128693,12,65.540636
5.852794,12,65.623597
6.93179,12,65.690922
4.383763,12,65.749242
5.708584,12,65.825866
4.817089,12,65.897696
5.505064,12,65.977882
4.059859,12,66.061843
4.986755,12,66.147875
6.296261,12,66.215111
4.708286,12,66.286305
5.886456,12,66.338078
4.854066,12,66.380125
5.692093,12,66.429801
5.70969,12,66.478037
5.777653,12,66.531203
4.731969,12,66.58811
6.909635,12,66.648106
5.851873,12,66.712348
5.679837,12,66.77434
6.321029,12,66.845949
5.604088,12,67.613009
6.203987,12,67.678381
5.552283,12,67.755706
5.216353,12,67.803921
5.431651,12,67.862649
4.777259,12,67.908884
6.272935,12,67.963294
5.698855,12,68.01029
5.682621,12,68.097444
5.587546,12,68.190134
5.511937,12,68.270779
5.505279,12,68.344731
4.425564,12,68.415924
4.932105,12,68.488794
5.234679,12,68.548407
