#{"t_start": 1775802262.372729, "env_id": "None"}
r,l,t
9.743423,12,41.713862
9.283829,12,41.753846
8.187737,12,41.784179
8.78804,12,41.813751
9.869529,12,41.844751
9.193407,12,41.880753
9.361237,12,41.911373
8.07596,12,41.941373
9.347774,12,41.975372
8.668572,12,42.008012
9.844856,12,42.04191
6.702998,12,42.075997
8.638812,12,42.106624
9.189056,12,42.145601
9.469388,12,42.179521
8.422301,12,42.211033
9.706241,12,42.240036
8.924198,12,42.270033
6.647098,12,42.298549
9.210596,12,42.328547
8.121537,12,42.358552
9.309713,12,42.388553
8.505948,12,42.418063
7.662316,12,42.448063
10.126543,12,42.478063
8.846759,12,42.51011
8.236996,12,42.545956
8.551638,12,42.581446
8.891714,12,42.617409
9.061787,12,42.647555
9.260387,12,42.679556
7.634191,12,42.709069
9.042046,12,42.739074
8.347865,12,42.76907
8.464574,12,42.804319
8.954232,12,42.836219
7.571073,12,42.86922
9.457279,12,42.898749
7.990804,12,43.209585
9.562581,12,43.239581
9.629636,12,43.26913
7.892455,12,43.298828
8.908425,12,43.329725
9.634672,12,43.359813
9.553212,12,43.389735
8.126211,12,43.426248
9.012832,12,43.456341
8.489469,12,43.488197
8.498824,12,43.517897
8.894315,12,43.548902
8.550493,12,43.579804
7.883065,12,43.612502
9.150732,12,43.643507
8.224874,12,43.673601
8.38649,12,43.706211
9.296066,12,43.749211
7.922712,12,43.784305
8.682922,12,43.814744
9.223205,12,43.844834
8.32175,12,43.877741
9.224233,12,43.922152
9.077793,12,43.955155
9.050828,12,43.988162
7.809882,12,44.019038
8.949576,12,44.048021
9.250396,12,44.079121
8.770115,12,44.108823
8.811943,12,44.137972
9.276184,12,44.168934
9.165162,12,44.197974
8.253912,12,44.232729
8.893986,12,44.261733
9.086048,12,44.296596
8.438613,12,44.346994
10.669073,12,44.386015
7.297687,12,44.419663
6.948628,12,44.454862
8.381501,12,44.484957
9.27837,12,44.514167
8.372356,12,44.544173
7.540211,12,44.573091
8.572566,12,44.907173
8.381855,12,44.938178
9.548399,12,44.970178
9.376778,12,45.000707
9.078783,12,45.037707
9.027611,12,45.067706
8.884312,12,45.104317
9.051398,12,45.134317
7.844882,12,45.164322
8.636187,12,45.196332
9.555825,12,45.227901
8.324202,12,45.257847
9.077034,12,45.287857
8.940674,12,45.317367
8.520983,12,45.346363
8.489713,12,45.376362
8.892108,12,45.406888
8.472023,12,45.436905
6.803961,12,45.471905
10.065922,12,45.505734
8.06393,12,45.535648
8.922759,12,45.568646
7.712835,12,45.609195
8.835176,12,45.644197
9.548514,12,45.673197
9.189624,12,45.702724
9.451762,12,45.732724
8.849922,12,45.767778
8.226573,12,45.798406
8.423164,12,45.830309
7.718291,12,45.865291
9.503444,12,45.896441
8.617356,12,45.926949
8.683226,12,45.958348
9.161921,12,45.988363
7.972192,12,46.024879
8.671226,12,46.054882
9.425747,12,46.084882
9.235814,12,46.11892
9.19184,12,46.147919
9.140968,12,46.177924
9.333723,12,46.20913
10.039799,12,46.527618
8.921063,12,46.559595
8.6247,12,46.593635
9.083987,12,46.624957
8.885848,12,46.662121
9.435832,12,46.700635
9.224142,12,46.733641
9.618834,12,46.767101
9.706104,12,46.79816
9.703104,12,46.835154
8.3163,12,46.870123
8.466551,12,46.904119
7.953419,12,46.983159
9.769463,12,47.053823
9.586493,12,47.121425
9.794283,12,47.19002
9.883495,12,47.240323
8.324286,12,47.290719
9.79026,12,47.334536
7.316853,12,47.380538
8.348938,12,47.422777
7.781626,12,47.466762
9.571093,12,47.509068
9.035297,12,47.556461
9.654915,12,47.611713
9.432602,12,47.653791
8.954602,12,47.698702
8.99417,12,47.731787
8.22154,12,47.762774
10.125167,12,47.789942
9.215712,12,47.817564
9.736185,12,47.85256
8.104243,12,47.879655
8.005111,12,47.906506
9.420652,12,47.934827
9.456604,12,47.963788
9.175017,12,47.990932
8.957381,12,48.017604
9.488731,12,48.047519
8.781914,12,48.073611
9.065068,12,48.101211
8.833848,12,48.12822
9.417783,12,48.155353
7.227903,12,48.474056
9.308808,12,48.502221
9.149275,12,48.528736
9.212562,12,48.555735
9.563528,12,48.584734
10.187133,12,48.612251
8.937767,12,48.641632
8.237782,12,48.675632
10.265942,12,48.704429
9.184015,12,48.732351
9.903596,12,48.758325
9.261292,12,48.78633
9.097648,12,48.81486
9.198214,12,48.851421
