episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
458,5496,12,8.237103,8.022056,22.023779
459,5508,12,9.561037,8.086461,22.058775
460,5520,12,7.253372,8.053259,22.090380
461,5532,12,7.656335,8.022151,22.139918
462,5544,12,9.707193,8.100467,22.171926
463,5556,12,9.235214,8.166641,22.203546
464,5568,12,8.489421,8.195120,22.245447
465,5580,12,8.899563,8.236402,22.277066
466,5592,12,9.084989,8.274826,22.309072
467,5604,12,7.891251,8.263115,22.340072
468,5616,12,8.728883,8.296636,22.376077
469,5628,12,7.903901,8.286652,22.410713
470,5640,12,6.667027,8.248912,22.735171
471,5652,12,9.046939,8.312024,22.765176
472,5664,12,7.925339,8.310931,22.795232
473,5676,12,10.122409,8.324980,22.826232
474,5688,12,8.585877,8.321670,22.855231
475,5700,12,8.720036,8.338293,22.885279
476,5712,12,8.480910,8.321595,22.917280
477,5724,12,7.518135,8.300944,22.947430
478,5736,12,8.780822,8.324616,22.977434
479,5748,12,9.133569,8.381232,23.010516
480,5760,12,8.980075,8.478127,23.052137
481,5772,12,8.271354,8.510740,23.089331
482,5784,12,8.828428,8.548367,23.123605
483,5796,12,8.221740,8.547753,23.155745
484,5808,12,7.751325,8.475364,23.189181
485,5820,12,8.254751,8.515419,23.218182
486,5832,12,7.748969,8.519125,23.248182
487,5844,12,9.098535,8.494778,23.278048
488,5856,12,7.926169,8.442417,23.314052
489,5868,12,8.749859,8.452834,23.350175
490,5880,12,9.401142,8.472897,23.379707
491,5892,12,8.600421,8.453515,23.410702
492,5904,12,9.059810,8.500257,23.447705
493,5916,12,8.394336,8.486875,23.476802
494,5928,12,8.164341,8.497293,23.511335
495,5940,12,7.592836,8.534325,23.543316
496,5952,12,9.128119,8.537572,23.573415
497,5964,12,8.207666,8.548865,23.603152
498,5976,12,7.986124,8.463414,23.633152
499,5988,12,8.972159,8.478865,23.663154
500,6000,12,9.279335,8.501237,23.694164
501,6012,12,8.251655,8.492067,23.729256
502,6024,12,7.729613,8.500526,23.758164
503,6036,12,8.706003,8.497533,23.788671
504,6048,12,9.326657,8.505257,23.817673
505,6060,12,9.392725,8.521763,23.852677
506,6072,12,9.541603,8.572573,23.883197
507,6084,12,7.977365,8.538530,23.913199
508,6096,12,8.300135,8.541666,23.950196
509,6108,12,7.415593,8.528237,23.979716
510,6120,12,7.357881,8.492362,24.008714
511,6132,12,8.630232,8.527613,24.038709
512,6144,12,8.455470,8.501890,24.074892
513,6156,12,7.862792,8.499355,24.401596
514,6168,12,8.478836,8.488514,24.433593
515,6180,12,7.311941,8.404946,24.463593
516,6192,12,8.912243,8.417419,24.492108
517,6204,12,8.940466,8.412645,24.522104
518,6216,12,8.955632,8.435097,24.553123
519,6228,12,8.571066,8.451366,24.582649
520,6240,12,7.886508,8.463113,24.612644
521,6252,12,9.457248,8.476278,24.643731
522,6264,12,8.853943,8.502129,24.676654
523,6276,12,8.437240,8.520174,24.710168
524,6288,12,8.006239,8.481537,24.739166
525,6300,12,8.311982,8.442843,24.770793
526,6312,12,7.996320,8.432629,24.800305
527,6324,12,8.645552,8.469267,24.830323
528,6336,12,7.060999,8.403467,24.861301
529,6348,12,8.857783,8.384712,24.899914
530,6360,12,8.500821,8.349036,24.938818
531,6372,12,8.304861,8.299566,24.969828
532,6384,12,9.318197,8.353199,25.000343
533,6396,12,8.919207,8.377962,25.029343
534,6408,12,8.964484,8.439918,25.058347
535,6420,12,7.394071,8.441365,25.088068
536,6432,12,8.199609,8.424140,25.118171
537,6444,12,9.495446,8.465739,25.148631
538,6456,12,7.416807,8.447900,25.178731
539,6468,12,9.140895,8.474382,25.208551
540,6480,12,9.187883,8.549420,25.244194
541,6492,12,9.019114,8.553695,25.276226
542,6504,12,8.624539,8.541058,25.320631
543,6516,12,9.430665,8.560059,25.352782
544,6528,12,8.683380,8.564552,25.382357
545,6540,12,9.077249,8.612181,25.418375
546,6552,12,7.900829,8.549925,25.448357
547,6564,12,7.935018,8.513168,25.481746
548,6576,12,7.980482,8.494897,25.511743
549,6588,12,7.317207,8.467336,25.540742
550,6600,12,9.291907,8.506533,25.578799
551,6612,12,7.497537,8.486582,25.612333
552,6624,12,8.738787,8.490311,25.642410
553,6636,12,8.121667,8.532738,25.674364
554,6648,12,8.183078,8.505750,25.702997
555,6660,12,8.201081,8.493760,26.018403
556,6672,12,8.100844,8.485599,26.051399
557,6684,12,8.838561,8.466414,26.089159
